"","","","","","","","","","","","","JK (Baramulla)","","JK (Srinagar)","","JK (Anantnag)","","JK (Udhampur)","","JK (Ladakh)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","JK (Jammu)","","PB (Amritsar)","","PB (Gurdaspur)","","PB (Hoshiarpur)","","HP (Kangra)","","HP (Mandi)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","PB (Khadoor Sahib)","","PB (Jalandhar)","","CH (Chandigarh)","","HR (Ambala)","","HP (Hamirpur)","","HP (Shimla)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","PB (Faridkot)","","PB (Fatehgarh Sahib)","","PB (Anandpur Sahib)","","HR (Kurukshetra)","","UP (Saharanpur)","","UK (Tehri Garhwal)","","UK (Garhwal)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","PB (Firozpur)","","PB (Ludhiana)","","PB (Patiala)","","HR (Karnal)","","UP (Kairana)","","UP (Muzaffarnagar)","","UK (Haridwar)","","UK (Almora)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","PB (Bathinda)","","PB (Sangrur)","","HR (Hissar)","","UP (Baghpat)","","UP (Bijnor)","","UP (Nagina)","","UK (Nainital–Udhamsingh Nagar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","RJ (Ganganagar)","","HR (Sirsa)","","HR (Sonipat)","","DL (North West Delhi)","","DL (North East Delhi)","","UP (Meerut)","","UP (Moradabad)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","RJ (Bikaner)","","RJ (Churu)","","HR (Rohtak)","","DL (Chandni Chowk)","","DL (New Delhi)","","DL (East Delhi)","","UP (Amroha)","","UP (Sambhal)","","UP (Rampur)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SK (Sikkim)","","","","","","","","","","","","","","AR (Arunachal West)","","AR (Arunachal East)","",""
"","","","","","","","","RJ (Jodhpur)","","RJ (Nagaur)","","RJ (Jhunjhunu)","","HR (Bhiwani–Mahendragarh)","","DL (West Delhi)","","DL (South Delhi)","","UP (Ghaziabad)","","UP (Badaun)","","UP (Bareilly)","","UP (Pilibhit)","","","","","","UP (Domariyaganj)","","UP (Maharajganj)","","BR (Valmiki Nagar)","","BR (Paschim Champaran)","","","","","","","","","","","","","","","","WB (Darjeeling)","","WB (Jalpaiguri)","","WB (Alipurduars)","","WB (Cooch Behar)","","AS (Kokrajhar)","","AS (Barpeta)","","AS (Mangaldoi)","","AS (Tezpur)","","AS (Lakhimpur)","","AS (Dibrugarh)",""
"","","","","","","","RJ (Barmer)","","RJ (Pali)","","RJ (Rajsamand)","","RJ (Sikar)","","HR (Gurgaon)","","HR (Faridabad)","","UP (Gautam Buddha Nagar)","","UP (Bulandshahr)","","UP (Aonla)","","UP (Shahjahanpur)","","UP (Kheri)","","UP (Bahraich)","","UP (Shrawasti)","","UP (Gorakhpur)","","UP (Kushi Nagar)","","BR (Purvi Champaran)","","BR (Sheohar)","","BR (Sitamarhi)","","BR (Madhubani)","","BR (Jhanjharpur)","","","","","","","","WB (Raiganj)","","WB (Balurghat)","","WB (Maldaha Uttar)","","WB (Maldaha Dakshin)","","AS (Dhubri)","","AS (Gauhati)","","AS (Nowgong)","","AS (Autonomous District)","","AS (Kaliabor)","","NL (Nagaland)","","AS (Jorhat)"
